gamePk,gameDate,home_id,away_id,home_name,away_name,home_score,away_score,home_win,total_runs
823483,2026-04-01T17:05:00Z,143,120,Philadelphia Phillies,Washington Nationals,6,5,1,11
822835,2026-04-01T17:07:00Z,141,115,Toronto Blue Jays,Colorado Rockies,1,2,0,3
823889,2026-04-01T17:10:00Z,146,145,Miami Marlins,Chicago White Sox,10,0,1,10
823078,2026-04-01T17:15:00Z,138,121,St. Louis Cardinals,New York Mets,2,1,1,3
823806,2026-04-01T17:40:00Z,158,139,Milwaukee Brewers,Tampa Bay Rays,8,2,1,10
824211,2026-04-01T18:10:00Z,117,111,Houston Astros,Boston Red Sox,6,4,1,10
824698,2026-04-01T18:20:00Z,112,108,Chicago Cubs,Los Angeles Angels,6,2,1,8
825106,2026-04-01T19:40:00Z,109,116,Arizona Diamondbacks,Detroit Tigers,1,0,1,1
823321,2026-04-01T20:10:00Z,135,137,San Diego Padres,San Francisco Giants,7,1,1,8
823157,2026-04-01T20:10:00Z,136,147,Seattle Mariners,New York Yankees,3,5,0,8
824136,2026-04-01T23:40:00Z,118,142,Kansas City Royals,Minnesota Twins,13,9,1,22
823970,2026-04-02T00:20:00Z,119,114,Los Angeles Dodgers,Cleveland Guardians,1,4,0,5
824281,2026-05-05T22:40:00Z,116,111,Detroit Tigers,Boston Red Sox,3,10,0,13
822986,2026-05-05T22:40:00Z,139,141,Tampa Bay Rays,Toronto Blue Jays,4,3,1,7
823469,2026-05-05T22:40:00Z,143,133,Philadelphia Phillies,Athletics,9,1,1,10
823873,2026-05-05T22:40:00Z,146,110,Miami Marlins,Baltimore Orioles,7,9,0,16
822743,2026-05-05T22:45:00Z,120,142,Washington Nationals,Minnesota Twins,3,11,0,14
823553,2026-05-05T23:05:00Z,147,140,New York Yankees,Texas Rangers,7,4,1,11
824682,2026-05-05T23:40:00Z,112,113,Chicago Cubs,Cincinnati Reds,3,2,1,5
824119,2026-05-05T23:40:00Z,118,114,Kansas City Royals,Cleveland Guardians,5,3,1,8
824200,2026-05-06T00:10:00Z,117,119,Houston Astros,Los Angeles Dodgers,2,1,1,3
824040,2026-05-06T01:38:00Z,108,145,Los Angeles Angels,Chicago White Sox,4,3,1,7
825092,2026-05-06T01:40:00Z,109,134,Arizona Diamondbacks,Pittsburgh Pirates,9,0,1,9
823142,2026-05-06T01:40:00Z,136,144,Seattle Mariners,Atlanta Braves,2,3,0,5
823227,2026-05-06T01:45:00Z,137,135,San Francisco Giants,San Diego Padres,5,10,0,15
822985,2026-05-06T17:10:00Z,139,141,Tampa Bay Rays,Toronto Blue Jays,3,0,1,3
823063,2026-05-06T17:15:00Z,138,158,St. Louis Cardinals,Milwaukee Brewers,2,6,0,8
824198,2026-05-06T18:10:00Z,117,119,Houston Astros,Los Angeles Dodgers,2,12,0,14
823226,2026-05-06T19:45:00Z,137,135,San Francisco Giants,San Diego Padres,1,5,0,6
824036,2026-05-06T20:07:00Z,108,145,Los Angeles Angels,Chicago White Sox,8,2,1,10
823141,2026-05-06T20:10:00Z,136,144,Seattle Mariners,Atlanta Braves,3,1,1,4
824282,2026-05-06T22:40:00Z,116,111,Detroit Tigers,Boston Red Sox,0,4,0,4
823470,2026-05-06T22:40:00Z,143,133,Philadelphia Phillies,Athletics,6,3,1,9
823872,2026-05-06T22:40:00Z,146,110,Miami Marlins,Baltimore Orioles,4,7,0,11
822740,2026-05-06T22:45:00Z,120,142,Washington Nationals,Minnesota Twins,15,2,1,17
823550,2026-05-06T23:05:00Z,147,140,New York Yankees,Texas Rangers,1,6,0,7
824683,2026-05-06T23:40:00Z,112,113,Chicago Cubs,Cincinnati Reds,7,6,1,13
824118,2026-05-06T23:40:00Z,118,114,Kansas City Royals,Cleveland Guardians,1,3,0,4
824361,2026-05-07T01:20:00Z,115,121,Colorado Rockies,New York Mets,5,10,0,15
825091,2026-05-07T01:40:00Z,109,134,Arizona Diamondbacks,Pittsburgh Pirates,0,1,0,1
823551,2026-05-07T16:35:00Z,147,140,New York Yankees,Texas Rangers,9,2,1,11
822741,2026-05-07T17:05:00Z,120,142,Washington Nationals,Minnesota Twins,7,5,1,12
824117,2026-05-07T18:10:00Z,118,114,Kansas City Royals,Cleveland Guardians,5,8,0,13
824681,2026-05-07T18:20:00Z,112,113,Chicago Cubs,Cincinnati Reds,8,3,1,11
824362,2026-05-07T19:10:00Z,115,121,Colorado Rockies,New York Mets,6,2,1,8
825090,2026-05-07T19:40:00Z,109,134,Arizona Diamondbacks,Pittsburgh Pirates,2,4,0,6
823467,2026-05-07T22:40:00Z,143,133,Philadelphia Phillies,Athletics,1,12,0,13
823870,2026-05-07T22:40:00Z,146,110,Miami Marlins,Baltimore Orioles,4,3,1,7
824767,2026-05-07T23:10:00Z,111,139,Boston Red Sox,Tampa Bay Rays,4,8,0,12
823306,2026-05-08T02:10:00Z,135,138,San Diego Padres,St. Louis Cardinals,1,2,0,3
824522,2026-05-08T22:10:00Z,113,117,Cincinnati Reds,Houston Astros,0,10,0,10
823466,2026-05-08T22:40:00Z,143,115,Philadelphia Phillies,Colorado Rockies,7,9,0,16
824846,2026-05-08T23:05:00Z,110,133,Baltimore Orioles,Athletics,3,4,0,7
822822,2026-05-08T23:07:00Z,141,108,Toronto Blue Jays,Los Angeles Angels,2,0,1,2
824768,2026-05-08T23:10:00Z,111,139,Boston Red Sox,Tampa Bay Rays,2,0,1,2
823871,2026-05-08T23:10:00Z,146,120,Miami Marlins,Washington Nationals,2,3,0,5
824443,2026-05-08T23:15:00Z,114,142,Cleveland Guardians,Minnesota Twins,6,4,1,10
824116,2026-05-08T23:40:00Z,118,116,Kansas City Royals,Detroit Tigers,4,3,1,7
824607,2026-05-08T23:40:00Z,145,136,Chicago White Sox,Seattle Mariners,8,12,0,20
823794,2026-05-08T23:40:00Z,158,147,Milwaukee Brewers,New York Yankees,6,0,1,6
822904,2026-05-09T00:05:00Z,140,112,Texas Rangers,Chicago Cubs,1,7,0,8
825088,2026-05-09T01:40:00Z,109,121,Arizona Diamondbacks,New York Mets,1,3,0,4
823303,2026-05-09T01:45:00Z,135,138,San Diego Padres,St. Louis Cardinals,0,6,0,6
823957,2026-05-09T02:10:00Z,119,144,Los Angeles Dodgers,Atlanta Braves,3,1,1,4
823225,2026-05-09T02:15:00Z,137,134,San Francisco Giants,Pittsburgh Pirates,5,2,1,7
822820,2026-05-09T19:07:00Z,141,108,Toronto Blue Jays,Los Angeles Angels,14,1,1,15
824847,2026-05-09T20:05:00Z,110,133,Baltimore Orioles,Athletics,2,6,0,8
824523,2026-05-09T20:10:00Z,113,117,Cincinnati Reds,Houston Astros,3,1,1,4
823869,2026-05-09T20:10:00Z,146,120,Miami Marlins,Washington Nationals,8,7,1,15
823468,2026-05-09T22:05:00Z,143,115,Philadelphia Phillies,Colorado Rockies,9,3,1,12
824444,2026-05-09T22:10:00Z,114,142,Cleveland Guardians,Minnesota Twins,1,2,0,3
822905,2026-05-09T23:05:00Z,140,112,Texas Rangers,Chicago Cubs,6,0,1,6
824115,2026-05-09T23:10:00Z,118,116,Kansas City Royals,Detroit Tigers,5,1,1,6
824606,2026-05-09T23:10:00Z,145,136,Chicago White Sox,Seattle Mariners,6,1,1,7
823792,2026-05-09T23:10:00Z,158,147,Milwaukee Brewers,New York Yankees,4,3,1,7
825089,2026-05-09T23:15:00Z,109,121,Arizona Diamondbacks,New York Mets,2,1,1,3
823304,2026-05-09T23:15:00Z,135,138,San Diego Padres,St. Louis Cardinals,4,2,1,6
823224,2026-05-10T01:05:00Z,137,134,San Francisco Giants,Pittsburgh Pirates,3,13,0,16
823955,2026-05-10T01:10:00Z,119,144,Los Angeles Dodgers,Atlanta Braves,2,7,0,9
823868,2026-05-10T16:15:00Z,146,120,Miami Marlins,Washington Nationals,5,2,1,7
824845,2026-05-10T17:35:00Z,110,133,Baltimore Orioles,Athletics,2,1,1,3
824765,2026-05-10T17:35:00Z,111,139,Boston Red Sox,Tampa Bay Rays,1,4,0,5
823463,2026-05-10T17:35:00Z,143,115,Philadelphia Phillies,Colorado Rockies,6,0,1,6
822819,2026-05-10T17:37:00Z,141,108,Toronto Blue Jays,Los Angeles Angels,1,6,0,7
824520,2026-05-10T17:40:00Z,113,117,Cincinnati Reds,Houston Astros,5,0,1,5
824440,2026-05-10T17:40:00Z,114,142,Cleveland Guardians,Minnesota Twins,4,5,0,9
824605,2026-05-10T18:10:00Z,145,136,Chicago White Sox,Seattle Mariners,2,1,1,3
823793,2026-05-10T18:10:00Z,158,147,Milwaukee Brewers,New York Yankees,4,3,1,7
822902,2026-05-10T18:35:00Z,140,112,Texas Rangers,Chicago Cubs,3,0,1,3
823221,2026-05-10T20:05:00Z,137,134,San Francisco Giants,Pittsburgh Pirates,7,6,1,13
825085,2026-05-10T20:10:00Z,109,121,Arizona Diamondbacks,New York Mets,5,1,1,6
823305,2026-05-10T20:10:00Z,135,138,San Diego Padres,St. Louis Cardinals,3,2,1,5
823954,2026-05-10T20:10:00Z,119,144,Los Angeles Dodgers,Atlanta Braves,2,7,0,9
824113,2026-05-10T23:20:00Z,118,116,Kansas City Royals,Detroit Tigers,3,6,0,9
824441,2026-05-11T22:10:00Z,114,108,Cleveland Guardians,Los Angeles Angels,7,2,1,9
824844,2026-05-11T22:35:00Z,110,147,Baltimore Orioles,New York Yankees,3,2,1,5
822818,2026-05-11T23:07:00Z,141,139,Toronto Blue Jays,Tampa Bay Rays,5,8,0,13
822901,2026-05-12T00:05:00Z,140,109,Texas Rangers,Arizona Diamondbacks,0,1,0,1
824199,2026-05-12T00:10:00Z,117,136,Houston Astros,Seattle Mariners,1,3,0,4
823953,2026-05-12T02:10:00Z,119,137,Los Angeles Dodgers,San Francisco Giants,3,9,0,12
